Name,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75
Alpha Chad,"38.63069,-90.21051","18.6833925,-68.4125023","18.6833925,-68.4125023","44.8149479,-66.9505475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scottytremaine,"57.42287,-6.78776","57.42287,-6.78776","31.127994023901564,-7.915659973978991","53.55065159108702,9.993473653665829","58.65172829338545,-3.2659293926012745","58.3026612,14.2942006","31.127994023901564,-7.915659973978991","58.3026612,14.2942006","31.100736010463205,-8.212723844086813","31.100736010463205,-8.212723844086813","58.65172829338545,-3.2659293926012745","50.06755,19.94589","50.06755,19.94589","47.492867,19.050299","57.42287,-6.78776","41.732239,12.2651243","31.127994023901564,-7.915659973978991","57.42287,-6.78776","50.06755,19.94589","50.66887158494342,-4.764093408022563","50.06755,19.94589","31.127994023901564,-7.915659973978991","58.3026612,14.2942006","50.06755,19.94589","31.127994023901564,-7.915659973978991","41.732239,12.2651243","47.492867,19.050299","31.127994023901564,-7.915659973978991","31.127994023901564,-7.915659973978991","31.36552,-8.15719","31.127994023901564,-7.915659973978991","31.127994023901564,-7.915659973978991","57.42287,-6.78776","47.492867,19.050299","31.100736010463205,-8.212723844086813","57.42287,-6.78776","31.100736010463205,-8.212723844086813","57.50155,-6.63635","47.492867,19.050299","57.50155,-6.63635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awam,"48.448382,-5.141975","48.448382,-5.141975","43.308918,-1.63458","47.86028,-1.896829","50.928949,11.584777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paultre,"53.34048316538866,-6.27030267372207","53.34048316538866,-6.27030267372207","34.32076102118932,7.93915784693153","55.686091524125246,12.578726265934323","1.3600161,103.9895932","59.320606534498836,18.094860999650034","34.32076102118932,7.93915784693153","59.320606534498836,18.094860999650034","34.32076102118932,7.93915784693153","34.32076102118932,7.93915784693153","59.92752365938241,10.698951995772594","6.303181981576194,99.72226429808731","6.303181981576194,99.72226429808731","38.11385793634922,13.356534753982924","59.92752365938241,10.698951995772594","34.32076102118932,7.93915784693153","33.433868968450604,9.028397060973154","53.34048316538866,-6.27030267372207","1.3600161,103.9895932","47.3869361,-3.2469055","59.320606534498836,18.094860999650034","33.433868968450604,9.028397060973154","59.320606534498836,18.094860999650034","1.3600161,103.9895932","34.32076102118932,7.93915784693153","33.433868968450604,9.028397060973154","38.11385793634922,13.356534753982924","47.3869361,-3.2469055","33.433868968450604,9.028397060973154","47.3869361,-3.2469055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinea,"55.97531,-3.17206","55.97531,-3.17206","29.0584,-13.55959","53.83731,-1.64265","55.98089,-3.17606","47.42632,18.99877","34.91128,32.32695","47.58125,19.16338","28.99088,-13.60007","28.96036,-13.58906","55.94724,-3.19776","34.9029,32.40807","34.95729,32.42233","37.78632,20.90034","55.95195,-3.17267","34.66594,32.88508","37.38352,-5.9716","55.98233,-3.19645","34.71334,32.48853","37.12651,-7.65001","47.6469,19.03218","34.87184,32.34099","55.89122,-2.32608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcz_idk,"50.3646131,-4.1413404","50.3646131,-4.1413404","50.3646131,-4.1413404","51.5040594,7.5152275","51.5040594,7.5152275","50.7691252,14.2518586","43.744318945809226,15.889770543848158","50.6538334,15.9072902","50.3646131,-4.1413404","44.435357,12.2979578","51.50980774157853,-0.13455874980898402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tastyCheese,"60.56286,29.87406","60.56286,29.87406","42.71243,18.56427","59.8777,29.92283","51.13009,71.55499","51.13009,71.55499","35.3786,24.56421","51.13009,71.55499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blastoform,"63.8141022,-22.7063343","63.8141022,-22.7063343","28.0549073,-16.7304152","52.620206,1.244232","21.0321848,105.8531069","21.0321848,105.8531069","35.2696956,23.537634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9iner,"40.539062,-80.039658","26.069962,-97.205522","30.300031,-86.078081","46.575069,-85.256749","43.765408,-110.745439","45.3141423,-110.8136858","33.886482,-78.436674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loading...,"42.9358578,-78.848193","29.339013,-98.46793","-25.6847222222,-54.4394444445","50.0866306668,14.4108246942","20.022326,-155.670589","40.6778916667,117.249838888","36.3670492029,25.4746095962","40.6778916667,117.249838888","-32.944424,-60.650785","-25.6847222222,-54.4394444445","59.453267,-135.318794","34.3850209898,109.274183663","22.2780555556,114.173055556","36.3670492029,25.4746095962","55.3503735868,-131.687676082","36.3670492029,25.4746095962","36.3670492029,25.4746095962","40.4272317,-86.9189787","22.2780555556,114.173055556","38.982958,-9.418167","47.330139,19.445669","36.3670492029,25.4746095962","59.453267,-135.318794","22.2780555556,114.173055556","-25.6847222222,-54.4394444445","36.3670492029,25.4746095962","28.614142,77.2041","-13.538636,-71.943794","38.6998709798,-9.18392107534","38.982958,-9.418167","-12.134821,-77.028415","38.6998709798,-9.18392107534","32.2655257,-107.7248958","22.586719,88.341185","-33.0400611109,-71.6084750001","41.478066,-82.678814","-25.6847222222,-54.4394444445","64.023239,-16.943484","36.3670492029,25.4746095962","20.117703,-155.584077","22.284075,114.150142","36.3670492029,25.4746095962","-34.582462,-58.429511","37.970244,23.727781","-34.608753,-58.370994","22.6425,88.438889","22.2780555556,114.173055556","36.347362,25.394706","22.2780555556,114.173055556","41.431785,-8.270214","47.330139,19.445669","40.6778916667,117.249838888","45.40025,-86.8563777775","36.347362,25.394706","-34.6043527778,-58.366472222","22.284075,114.150142","22.2780555556,114.173055556","43.5700908,-116.2286491","59.031003,-137.026423","8.910566,-79.529026","-25.613333,-54.479722","38.6998709798,-9.18392107534","22.6425,88.438889","36.370662,25.481555","-12.134821,-77.028415","8.996944,-79.591111","36.3670492029,25.4746095962","51.417776,-116.215297","28.614142,77.2041","20.022326,-155.670589","38.6998709798,-9.18392107534","42.031758,-93.649758","36.347362,25.394706","22.284075,114.150142","-34.6043527778,-58.366472222"
Hendog,"38.8924182,-77.0484438","29.425617,-98.486462","38.8924182,-77.0484438","38.8924182,-77.0484438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Inputs,"-33.8864646554303,151.198812486124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
